Rank,Player,Team,Bye,POS,ESPN,Yahoo,CBS,Sleeper,NFL,RTSports,Fantrax,AVG
173,Bryce Young,CAR,5,QB25,,130,,235,,167,,177.3
174,Cam Ward,TEN,9,QB26,,142,,231,,162,,178.3
175,Daniel Jones,IND,13,QB27,,159,,214,,163,,178.7
176,Kenyon Sadiq,NYJ,13,TE22,,182,,174,,182,,179.3
177,Aaron Rodgers,PIT,9,QB28,,122,,237,,181,,180.0
178,David Njoku,LAC,7,TE23,,140,,230,,175,,181.7
179,Terrance Ferguson,LAR,11,TE24,,160,,206,,183,,183.0
180,Jauan Jennings,MIN,6,WR62,,154,,200,,196,,183.3
181,Minnesota Vikings,DST,6,DST7,,188,,153,,211,,184.0
182,Dalton Schultz,HOU,8,TE25,,166,,211,,188,,188.3
183,Jalen McMillan,TB,10,WR63,,176,,196,,197,,189.7
184,Jaydon Blue,DAL,14,RB56,,149,,213,,209,,190.3
185,Jacksonville Jaguars,DST,7,DST8,,213,,155,,207,,191.7
186,Travis Hunter,JAC,7,WR64,,152,,176,,251,,193.0
187,AJ Barner,SEA,11,TE26,,147,,194,,240,,193.7
188,Jake Bates,DET,6,K6,,216,,151,,216,,194.3
189,Harrison Mevis,LAR,11,K7,,202,,156,,226,,194.7
190,Pittsburgh Steelers,DST,9,DST9,,209,,168,,213,,196.7
191,Baltimore Ravens,DST,13,DST10,,215,,135,,241,,197.0
192,Los Angeles Chargers,DST,7,DST11,,217,,162,,222,,200.3
193,James Conner,ARI,14,RB57,,146,,220,,236,,200.7
194,Pat Freiermuth,PIT,9,TE27,,139,,233,,231,,201.0
195,Cooper Kupp,SEA,11,WR65,,128,,205,,271,,201.3
196,Harrison Butker,KC,5,K8,,194,,181,,237,,204.0
197,Dallas Cowboys,DST,14,DST12,,169,,222,,233,,208.0
198,Isaac TeSlaa,DET,6,WR66,,143,,218,,265,,208.7
199,Tyler Loop,BAL,13,K9,,218,,189,,219,,208.7
200,Tyreek Hill,,,WR67,,189,,219,,230,,212.7
201,Evan McPherson,CIN,6,K10,,220,,160,,262,,214.0
202,Eddy Pineiro,SF,8,K11,,222,,173,,248,,214.3
203,Dylan Sampson,CLE,11,RB58,,,,192,,160,,176.0
204,Will Reichard,MIN,6,K12,,221,,164,,264,,216.3
205,Chris Boswell,PIT,9,K13,,210,,185,,256,,217.0
206,Kaelon Black,SF,8,RB59,,,,178,,180,,179.0
207,Trey Smack,GB,11,K14,,185,,221,,246,,217.3
208,Green Bay Packers,DST,11,DST13,,214,,204,,234,,217.3
209,Braelon Allen,NYJ,13,RB60,,,,191,,168,,179.5
210,Greg Dulcich,MIA,6,TE28,,200,,243,,210,,217.7
211,Kayshon Boutte,HOU,8,WR68,,,,212,,150,,181.0
212,Detroit Lions,DST,6,DST14,,212,,175,,274,,220.3
213,Cyrus Allen,KC,5,WR69,,,,180,,190,,185.0
214,San Francisco 49ers,DST,8,DST15,,161,,223,,280,,221.3
215,Malik Washington,MIA,6,WR70,,,,182,,192,,187.0
216,Emmett Johnson,KC,5,RB61,,,,198,,184,,191.0
217,Tre Tucker,LV,13,WR71,,,,187,,195,,191.0
218,Andy Borregales,NE,11,K15,,223,,201,,252,,225.3
219,Chicago Bears,DST,10,DST16,,167,,225,,286,,226.0
220,Tank Dell,HOU,8,WR72,,,,186,,203,,194.5
221,Dontayvion Wicks,PHI,10,WR73,,,,207,,185,,196.0
222,Jerry Jeudy,CLE,11,WR74,,,,216,,177,,196.5
223,Omar Cooper Jr.,NYJ,13,WR75,,,,177,,218,,197.5
224,Tre' Harris,LAC,7,WR76,,,,217,,179,,198.0
225,Caleb Douglas,MIA,6,WR77,,,,203,,198,,200.5
226,Ray Davis,BUF,7,RB62,,,,210,,201,,205.5
227,Nicholas Singleton,TEN,9,RB63,,,,197,,215,,206.0
228,Calvin Ridley,TEN,9,WR78,,,,252,,161,,206.5
229,Chase McLaughlin,TB,10,K16,,219,,224,,272,,238.3
230,Kansas City Chiefs,DST,5,DST17,,207,,228,,282,,239.0
231,Malachi Fields,NYG,8,WR79,,,,226,,199,,212.5
232,Buffalo Bills,DST,7,DST18,,187,,,,239,,213.0
233,Jacoby Brissett,ARI,14,QB29,,,,255,,172,,213.5
234,Justice Hill,BAL,13,RB64,,,,227,,204,,215.5
235,New York Giants,DST,8,DST19,,173,,,,261,,217.0
236,Adonai Mitchell,NYJ,13,WR80,,,,232,,208,,220.0
237,Geno Smith,NYJ,13,QB30,,,,262,,186,,224.0
238,Kaytron Allen,WAS,7,RB65,,,,236,,214,,225.0
239,Wil Lutz,DEN,10,K17,,211,,,,242,,226.5
240,Tua Tagovailoa,ATL,11,QB31,,,,265,,191,,228.0
241,Zachariah Branch,ATL,11,WR81,,,,215,,243,,229.0
242,Pat Bryant,DEN,10,WR82,,,,209,,250,,229.5
243,Jaylen Wright,MIA,6,RB66,,,,240,,220,,230.0
244,Chris Bell,MIA,6,WR83,,,,234,,227,,230.5
245,Kimani Vidal,LAC,7,RB67,,,,239,,223,,231.0
246,Jake Elliott,PHI,10,K18,,172,,,,,,172.0
247,Cleveland Browns,DST,11,DST20,,206,,,,263,,234.5
248,Nick Folk,ATL,11,K19,,177,,,,,,177.0
249,Sean Tucker,TB,10,RB68,,,,251,,221,,236.0
250,Cade Otton,TB,10,TE29,,,,247,,228,,237.5
251,Deshaun Watson,CLE,11,QB32,,,,,,187,,187.0
252,Austin Ekeler,,,RB69,,,,,,189,,189.0
253,Tyler Bass,BUF,7,K20,,208,,,,281,,244.5
254,Jordan James,SF,8,RB70,,,,229,,260,,244.5
255,Demond Claiborne,MIN,6,RB71,,,,244,,245,,244.5
256,Gunnar Helm,TEN,9,TE30,,,,245,,247,,246.0
257,Cairo Santos,CHI,10,K21,,224,,,,269,,246.5
258,Michael Penix Jr.,ATL,11,QB33,,,,,,200,,200.0
259,Atlanta Falcons,DST,11,DST21,,201,,,,,,201.0
260,Kirk Cousins,LV,13,QB34,,,,,,202,,202.0
261,Najee Harris,NYG,8,RB72,,,,,,205,,205.0
262,Germie Bernard,PIT,9,WR84,,,,246,,254,,250.0
263,Noah Brown,,,WR85,,,,,,212,,212.0
264,Ryan Flournoy,DAL,14,WR86,,,,241,,267,,254.0
265,Shedeur Sanders,CLE,11,QB35,,,,,,217,,217.0
266,Ted Hurst III,TB,10,WR87,,,,238,,275,,256.5
267,Antonio Williams,WAS,7,WR88,,,,248,,266,,257.0
268,Colby Parkinson,LAR,11,TE31,,,,271,,244,,257.5
269,Devin Singletary,NYG,8,RB73,,,,,,225,,225.0
270,Eli Stowers,PHI,10,TE32,,,,249,,273,,261.0
271,Darnell Mooney,NYG,8,WR89,,,,267,,255,,261.0
272,George Holani,SEA,11,RB74,,,,,,229,,229.0
273,Christian Kirk,SF,8,WR90,,,,,,232,,232.0
274,Elijah Arroyo,SEA,11,TE33,,,,,,235,,235.0
275,Mike Gesicki,CIN,6,TE34,,,,,,238,,238.0
276,Keon Coleman,BUF,7,WR91,,,,242,,291,,266.5
277,Devaughn Vele,NO,8,WR92,,,,,,249,,249.0
278,Nick Vogel,,,K22,,,,250,,,,250.0
279,Jake Tonges,SF,8,TE35,,,,258,,287,,272.5
280,Samaje Perine,CIN,6,RB75,,,,,,253,,253.0
281,J.J. Taylor,,,RB76,,,,253,,,,253.0
282,Jonathan Adams Jr.,,,WR93,,,,254,,,,254.0
283,Kareem Hunt,,,RB77,,,,,,257,,257.0
284,Harrison Wallace III,ARI,14,WR94,,,,257,,,,257.0
285,Ty Johnson,BUF,7,RB78,,,,,,258,,258.0
286,Evan Engram,DEN,10,TE36,,,,,,259,,259.0
287,Mecole Hardman Jr.,BUF,7,WR95,,,,259,,,,259.0
288,Jerell Adams,,,TE37,,,,261,,,,261.0
289,Emanuel Wilson,SEA,11,RB79,,,,279,,277,,278.0
290,Josh Johnson,,,WR96,,,,263,,,,263.0
291,Shaquan Davis,,,WR97,,,,264,,,,264.0
292,Hakeem Butler,,,WR98,,,,266,,,,266.0
293,Darren Waller,CAR,5,TE38,,,,,,268,,268.0
294,Sy Barnett,,,WR99,,,,268,,,,268.0
295,Tory Horton,SEA,11,WR100,,,,269,,,,269.0
296,Robert Burns,,,RB80,,,,270,,,,270.0
297,Kaleb Johnson,PIT,9,RB81,,,,,,270,,270.0
298,Donte Sylencieux,,,WR101,,,,272,,,,272.0
299,Theo Johnson,NYG,8,TE39,,,,273,,,,273.0
300,Matt Bushman,,,TE40,,,,274,,,,274.0
301,Trey Benson,ARI,14,RB82,,,,275,,,,275.0
302,Michael Mayer,LV,13,TE41,,,,,,276,,276.0
303,Troy Franklin,DEN,10,WR102,,,,276,,,,276.0
