"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"139","Jaylen Wright","MIA","6","RB47","","142","138","140.0"
"140","Mike Williams","NYJ","12","WR57","","132","150","141.0"
"141","MarShawn Lloyd","GB","10","RB48","","144","140","142.0"
"142","Rashid Shaheed","NO","12","WR58","","133","155","144.0"
"143","Luke Musgrave","GB","10","TE17","","136","153","144.5"
"144","Gabe Davis","JAC","12","WR59","","146","148","147.0"
"145","Brandin Cooks","DAL","7","WR60","","147","147","147.0"
"146","Antonio Gibson","NE","14","RB49","","158","137","147.5"
"147","Jahan Dotson","WAS","14","WR61","","153","143","148.0"
"148","Josh Downs","IND","14","WR62","","143","154","148.5"
"149","Baker Mayfield","TB","11","QB21","","152","146","149.0"
"150","Xavier Legette","CAR","11","WR63","","131","171","151.0"
"151","Adonai Mitchell","IND","14","WR64","","120","183","151.5"
"152","Kimani Vidal","LAC","5","RB50","","162","142","152.0"
"153","Tyler Allgeier","ATL","12","RB51","","156","149","152.5"
"154","Jaleel McLaughlin","DEN","14","RB52","","165","141","153.0"
"155","Taysom Hill","NO","12","TE18","","151","161","156.0"
"156","Kendre Miller","NO","12","RB53","","141","172","156.5"
"157","Deshaun Watson","CLE","10","QB22","","163","151","157.0"
"158","Dontayvion Wicks","GB","10","WR65","","155","162","158.5"
"159","Michael Wilson","ARI","11","WR66","","174","145","159.5"
"160","Tyrone Tracy Jr.","NYG","11","RB54","","175","152","163.5"
"161","Adam Thielen","CAR","11","WR67","","172","158","165.0"
"162","Ray Davis","BUF","12","RB55","","170","163","166.5"
"163","Hunter Henry","NE","14","TE19","","168","165","166.5"
"164","New York Jets","DST","12","DST1","","167","173","170.0"
"165","Bucky Irving","TB","11","RB56","","186","156","171.0"
"166","San Francisco 49ers","DST","9","DST2","","164","178","171.0"
"167","Will Levis","TEN","5","QB23","","177","166","171.5"
"168","Quentin Johnston","LAC","5","WR68","","159","186","172.5"
"169","Elijah Mitchell","SF","9","RB57","","179","167","173.0"
"170","Ricky Pearsall","SF","9","WR69","","154","196","175.0"
"171","Darnell Mooney","ATL","12","WR70","","171","179","175.0"
"172","Geno Smith","SEA","10","QB24","","184","168","176.0"
"173","Ja'Lynn Polk","NE","14","WR71","","157","197","177.0"
"174","Tyler Conklin","NYJ","12","TE20","","180","177","178.5"
"175","Braelon Allen","NYJ","12","RB58","","182","176","179.0"
"176","Cade Otton","TB","11","TE21","","161","200","180.5"
"177","Dallas Cowboys","DST","7","DST3","","205","160","182.5"
"178","Baltimore Ravens","DST","14","DST4","","201","164","182.5"
"179","Isaiah Likely","BAL","14","TE22","","173","192","182.5"
"180","Troy Franklin","DEN","14","WR72","","150","216","183.0"
"181","Roschon Johnson","CHI","7","RB59","","192","174","183.0"
"182","J.J. McCarthy","MIN","6","QB25","","169","198","183.5"
"183","Khalil Herbert","CHI","7","RB60","","181","187","184.0"
"184","Chigoziem Okonkwo","TEN","5","TE23","","187","181","184.0"
"185","Bryce Young","CAR","11","QB26","","189","182","185.5"
"186","Daniel Jones","NYG","11","QB27","","203","169","186.0"
"187","Derek Carr","NO","12","QB28","","204","170","187.0"
"188","Dameon Pierce","HOU","14","RB61","","185","193","189.0"
"189","Justin Tucker","BAL","14","K1","","220","159","189.5"
"190","DeMario Douglas","NE","14","WR73","","176","203","189.5"
"191","Brandon Aubrey","DAL","7","K2","","225","157","191.0"
"192","Jermaine Burton","CIN","12","WR74","","178","210","194.0"
"193","Audric Estime","DEN","14","RB62","","194","195","194.5"
"194","Justin Fields","PIT","9","QB29","","215","180","197.5"
"195","Harrison Butker","KC","6","K3","","223","175","199.0"
"196","Clyde Edwards-Helaire","KC","6","RB63","","190","211","200.5"
"197","Bo Nix","DEN","14","QB30","","207","194","200.5"
"198","Cleveland Browns","DST","10","DST5","","213","189","201.0"
"199","Russell Wilson","PIT","9","QB31","","211","191","201.0"
"200","Jonnu Smith","MIA","6","TE24","","214","190","202.0"
"201","Noah Fant","SEA","10","TE25","","197","207","202.0"
"202","Wan'Dale Robinson","NYG","11","WR75","","200","205","202.5"
"203","Ben Sinnott","WAS","14","TE26","","160","246","203.0"
"204","Drake Maye","NE","14","QB32","","191","218","204.5"
"205","Pittsburgh Steelers","DST","9","DST6","","208","201","204.5"
"206","Ka'imi Fairbairn","HOU","14","K4","","232","184","208.0"
"207","Marvin Mims Jr.","DEN","14","WR76","","188","228","208.0"
"208","Alexander Mattison","LV","10","RB64","","199","219","209.0"
"209","Rashod Bateman","BAL","14","WR77","","195","229","212.0"
"210","Demarcus Robinson","LAR","6","WR78","","193","234","213.5"
"211","Roman Wilson","PIT","9","WR79","","166","262","214.0"
"212","Jake Elliott","PHI","5","K5","","230","199","214.5"
